lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
165,https://robohash.org/Brian.png,100,10,5,5,100,1,50
165,https://robohash.org/Brian.png,100,10,5,5,100,1,50
165,https://robohash.org/Brian.png,95.0,10,9.0,5,80.0,1,50
165,https://robohash.org/Brian.png,90.0,10,12.0,5,60.0,1,50
165,https://robohash.org/Brian.png,85.0,10,13.0,5,40.0,1,50
165,https://robohash.org/Brian.png,85.0,10,13.0,5,40.0,1,50
165,https://robohash.org/Brian.png,65.0,10,13.0,5,190.0,2.0,50
165,https://robohash.org/Brian.png,10000000,10,13.0,5,490.0,3.0,50
165,https://robohash.org/Brian.png,10000000,10,13.0,5,490.0,3.0,50
165,https://robohash.org/Brian.png,9999995.0,10,16.0,5,470.0,3.0,50
165,https://robohash.org/Brian.png,9999990.0,10,19.0,5,450.0,3.0,50
165,https://robohash.org/Brian.png,9999985.0,10,21.0,5,430.0,3.0,50
165,https://robohash.org/Brian.png,9999980.0,10,22.0,5,410.0,3.0,50
165,https://robohash.org/Brian.png,9999975.0,10,25.0,5,390.0,3.0,50
165,https://robohash.org/Brian.png,9999970.0,10,29.0,5,370.0,3.0,50
165,https://robohash.org/Brian.png,9999965.0,13.0,29.0,5,350.0,3.0,50
165,https://robohash.org/Brian.png,9999960.0,16.0,29.0,5,330.0,3.0,50
165,https://robohash.org/Brian.png,9999955.0,19.0,29.0,5,310.0,3.0,50
165,https://robohash.org/Brian.png,9999950.0,20.0,29.0,5,290.0,3.0,50
165,https://robohash.org/Brian.png,9999945.0,22.0,29.0,5,270.0,3.0,50
165,https://robohash.org/Brian.png,9999940.0,24.0,29.0,5,250.0,3.0,50
165,https://robohash.org/Brian.png,9999935.0,27.0,29.0,5,230.0,3.0,50
165,https://robohash.org/Brian.png,9999930.0,28.0,29.0,5,210.0,3.0,50
165,https://robohash.org/Brian.png,9999925.0,28.0,33.0,5,190.0,3.0,50
165,https://robohash.org/Brian.png,9999905.0,28.0,33.0,5,340.0,4.0,50
165,https://robohash.org/Brian.png,9999885.0,28.0,33.0,5,940.0,5.0,50
165,https://robohash.org/Brian.png,9999885.0,28.0,33.0,5,940.0,5.0,50
