lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
165,https://robohash.org/J.png,100,10,5,5,100,1,50
165,https://robohash.org/J.png,100,10,5,5,100,1,50
165,https://robohash.org/J.png,95.0,10,7.0,5,80.0,1,50
165,https://robohash.org/J.png,90.0,10,9.0,5,60.0,1,50
165,https://robohash.org/J.png,85.0,10,12.0,5,40.0,1,50
165,https://robohash.org/J.png,80.0,10,13.0,5,20.0,1,50
165,https://robohash.org/J.png,80.0,10,13.0,5,20.0,1,50
165,https://robohash.org/J.png,80.0,10,13.0,5,20.0,1,50
165,https://robohash.org/J.png,60.0,10,13.0,5,170.0,2.0,50
165,https://robohash.org/J.png,40.0,10,13.0,5,470.0,3.0,50
