lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
165,https://robohash.org/Mciamhungry.png,100,10,5,5,100,1,50
165,https://robohash.org/Mciamhungry.png,80.0,10,5,5,250.0,2.0,50
165,https://robohash.org/Mciamhungry.png,60.0,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,60.0,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,60.0,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,60.0,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,10000000000,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,10000000000,10,5,5,400.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999995.0,10,5,6.0,380.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999990.0,10,5,10.0,360.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999985.0,10,5,11.0,340.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999980.0,10,7.0,11.0,320.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999975.0,10,7.0,12.0,300.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999970.0,10,7.0,15.0,280.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999965.0,10,7.0,19.0,260.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999960.0,13.0,7.0,19.0,240.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999955.0,13.0,11.0,19.0,220.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999950.0,13.0,11.0,22.0,200.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999945.0,14.0,11.0,22.0,180.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999940.0,14.0,11.0,24.0,160.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999935.0,14.0,11.0,27.0,140.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999930.0,14.0,14.0,27.0,120.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999930.0,14.0,14.0,27.0,120.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999930.0,14.0,14.0,27.0,120.0,3.0,50
165,https://robohash.org/Mciamhungry.png,9999999910.0,14.0,14.0,27.0,270.0,4.0,50
165,https://robohash.org/Mciamhungry.png,9999999890.0,14.0,14.0,27.0,420.0,5.0,50
165,https://robohash.org/Mciamhungry.png,9999999890.0,14.0,14.0,27.0,420.0,5.0,50
165,https://robohash.org/Mciamhungry.png,9999999870.0,14.0,14.0,27.0,570.0,6.0,50
