lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
164,https://robohash.org/potatoman.png,100,10,5,5,100,1,50
164,https://robohash.org/potatoman.png,100,10,5,5,100,1,50
164,https://robohash.org/potatoman.png,95.0,10,7.0,5,80.0,1,50
164,https://robohash.org/potatoman.png,90.0,10,9.0,5,60.0,1,50
164,https://robohash.org/potatoman.png,85.0,10,11.0,5,40.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,80.0,10,12.0,5,20.0,1,50
164,https://robohash.org/potatoman.png,55.0,10,12.0,5,45.0,1,50
164,https://robohash.org/potatoman.png,30.0,10,12.0,5,70.0,1,50
164,https://robohash.org/potatoman.png,5.0,10,12.0,5,95.0,1,50
164,https://robohash.org/potatoman.png,-20.0,10,12.0,5,120.0,1,50
164,https://robohash.org/potatoman.png,-20.0,10,12.0,5,120.0,1,50
164,https://robohash.org/potatoman.png,-20.0,10,12.0,5,120.0,1,50
164,https://robohash.org/potatoman.png,-20.0,10,12.0,5,120.0,1,50
164,https://robohash.org/potatoman.png,-20.0,10,12.0,5,120.0,1,50
