intellect,inventory
10,null
10,null:Fists of Steel
10,null:Fists of Steel:Sword
10,null:Fists of Steel:Sword:Tungsten Armor
10,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
11.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
12.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
13.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
14.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
15.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
16.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
17.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
18.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
19.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
20.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
21.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
22.0,null:Fists of Steel:Sword:Tungsten Armor:Book of Knowledge
